pid,label,autores,descripcion,keyword,editores,grupo,fecha,ciudad,pais,conseguido,tipo_principal,nota,medio_impresion,intervencion_manual,portada_color,portada_especial,internas_color,papel_portada_color,Compaginado,nota_archivo
bazuca000000_lp4u1mbbqa,Bazuca,"Mike Diana, Piñata, Edwin Sandoval, Lisa Czech, Mistress Rat, Gabriela Fraga, Tourlas G, Hurrican Ivan, Santi Seta, Cameron Forsley, Coyote, David Galliquio, Señor Berumen, Onsmith Jeremy, Eden D, Simone Chiorlerio, Suki Sánchez, Detrito, Manuel Hernández, Desperfecto, Taxaz, Mañe, Dr.Blugie, Vinker, Alpz, Toxo, Abby, Ana Mardoquea, Jim Pluk, Apestosa, Pagannini, Meza, Danitos","Compilación de varios autores colombianos e internacionales, cómic estilo cutre-chiroso.",bazuca,,,2017,Bucaramanga,Colombia,Comprado en feria,Cómic,,Fotocopia,no,tri,No,no,no,Cuadernillo,
blackpeoples_lp4u38orvq,The Black People's Prison Survival Guide,Abdullah,,blackpeoplesprisonsurvivalguideabdullah,,,1998,Baltimore,Estados Unidos,Gratis en el IMC (Independent Media Center) de Urbana,Texto,,Fotocopia,no,no,No,no,no,Cuadernillo,
borderodrigo_lp4u3co3dp,Borde,Rodrigo la Hoz,,borderodrigolahoz,,,2009,Lima,Perú,Comprado en una tienda en Lima,Cómic,,Fotocopia,no,no,No,no,no,Cuadernillo,
canondaeagua_lp4udayf5m,Canon de Aguacate,Alejandra Arboleda Tilano,,canondaeaguacatealejandraarboledatilano,,,2018,Medellín,Colombia,Comprado en feria,Cómic,Tiene algunas páginas con papel periódico (haciendo referencia a la maduración del aguacate) y tipografía manual con esténcil,Risografía,sí,tri,No,tetra,no,Cuadernillo,
cripsgusanil_lp4ufsse7a,Crips,Gusanillo,,cripsgusanillo,,,2019,Soacha,Colombia,Comprado en feria,Cómic,,Fotocopia,no,full,Offset,no,no,Cuadernillo,
dondalducklo_lp4u261q2p,Donald Duck Lookalikes,Dirk Verschure,,dondalducklookalikesverschure,,,2017,Berlín,Alemania,Comprado en feria en Berlín,Ilustración,,Digital,no,no,Serigrafía,no,sí,Cuadernillo,verificar fecha
elefantesyji_lp4ufc0677,Elefantes y Jirafas,"Juan Duarte, María Vanegas, Pavel Molano, Hugo Quintero, Verónica Cháves, Sergio Rodríguez Gómez, Andrea Gaitán",Compilación de cómics sobre historias de Colombia basado en su estética en los panfletos y revistas de inicios del siglo XX.,elefantesyjirafas4mesas,,4mesas,2023,Bogotá,Colombia,Elaboración propia,Cómic,,Offset,no,duo,No,duo,no,Cuadernillo,
elfuetesna00_lp4ufwo69j,El Fuete,"Néstor Cardona Junior, Carlos Gustavo Álvarez, Neotropico, Matador, Chócolo, Mheo, Dioscorides",,elfuetesna,,,2016,Pereira,Colombia,Gratis en el Salón Nacional de Artistas 44 en Pereira,Ilustración,,Offset,no,full,No,full,na,Cuadernillo,
elladooscuro_lp4u2t9rlw,El lado oscuro de la luna es un Cómic,Gusanillo,,elladooscurodelalunaesuncomicgusanillo,,Historietas Carajo,2020,Soacha,Colombia,Comprado a autor,Cómic,,Fotocopia,no,no,No,no,no,Cuadernillo,
entrelasrama_lp4udf9hm2,Entre las ramas ando,Kevin Simón Mancera,,entrelasramasandokevinmancera,,,2019,Bogotá,Colombia,Gratis en exposición SNA (Salón Nacional de Artistas) 45,Ilustración,"Parte de la curaduría LLamitas al viento de Manuel Kalmanovitz, Salón Nacional de Artistas 45",Offset,no,full,No,full,no,Cuadernillo,
ficciorama92_lp4ualmv0b,Ficciorama 92,Boris Greiff,,ficciorama92borisgreiff,,,2019,Bogotá,Colombia,Regalo de Boris Greiff,Texto,,Fotocopia,no,no,No,no,no,Cuadernillo,
franciscogus_lp4uffsine,Francisco,Gusanillo,Cómic sobre la vida del Papa Francisco.,franciscogusanillo,,,2020,Soacha,Colombia,"Regalo de Miguel Vallejo ""Gusanillo""",Cómic,,Risografía,no,duo,No,duo,no,Cuadernillo,
fuzilarmagra_lp4uar8s0h,Fuzil. Arma Grafika,"Base-v, Ex2 Saint Cat, Raya, Metralla, Kontra, M79, Pulpa, V8, BluemoonSkin, Fernardo Cardona, Harold Pardey, Carlos Torres, Dr.Makila",,fuzilarmagrafika,"Ruda,Dr.Makila",,2007,Cali,Colombia,Comprado en feria,Ilustración,,Offset,no,no,No,no,sí,Cuadernillo,
galeriaconce_lp4u0ndpe7,Galería De Conceptos,"Leonardo Kuntscher, Marcelo Mosqueira",,galeriaconceptos,,Colección Espantitos,2016,Buenos Aires,Argentina,Regalo de Paula Rodríguez Gómez,Ilustración,,Offset,no,full,No,no,no,Cuadernillo,
grawlixes2va_lp4u3h4988,Programming with grawlixex 2. How Grawlixes Structured Comix,Marc van Elburg,,grawlixes2valelburg,,,2014,,Países Bajos,Regalo de Ocean Val Arboniés Flores,Texto,,Fotocopia,no,no,No,no,no,Cuadernillo,
grimoriobara_lp4ue4h7nl,Grimorio de Conjuros Musicales de ((Barakus)),"Alex Cendales ""Barakus"", Mario Alberto León Bonilla",,grimoriobarakus,,,2017,Bogotá,Colombia,Comprado a autor,Ilustración,Incluye CD musical,Digital,no,no,No,no,sí,Cuadernillo,
groundskeepe_lp4uf2r9ka,Groundskeepers,AnneMarie Rogers,,groundskeepersannemarierogers,,,2023,Chicago,Estados Unidos,Comprado en Quimby´s Chicago,Cómic,,Digital,no,duo,No,duo,no,Cuadernillo,
lacasadelasl_lp4u2jj17s,La casa de las luces que estallan,Gatoenbus,,lacasadelaslucesqueestallangatoenbus,,Chigüiro Comix,2020,Pereira,Colombia,Comprado en feria Papel Caliente,Cómic,,Digital,no,no,No,no,no,Cuadernillo,
libroparacol_lp4u2xte44,Libro para coloriar,"José Guio, Malchico, Ángela Acosta",,libroparacoloriarvolcan,,,2009,Bogotá,Colombia,Comprado en feria,Ilustración,"Páginas de distintos tipos y tamaños, intervenciones manuales",Fotocopia,sí,no,No,no,no,Cuadernillo,
maestrosinu0_lp4ty26k94,Colección Grandes Maestros del Cómic Colombiano,Inu Waters,,maestrosinu,,,2006,Bogotá,Colombia,Comprado en feria,Cómic,,Offset,no,duo,No,no,no,Cuadernillo,
mastercopyme_lp4uelchmj,Master/Copy. Juan & Wilson [1995 - 1998],"Juan Mejía, Wilson Díaz",Catálogo de la exposición con el mismo nombre sobre la obra conjunta de los artistas Juan Mejía y Wilson Díaz,mastercopymejiadiaz,,,2012,Bogotá,Colombia,Gratis en la exposición,Fotografía,,Offset,no,full,No,full,no,Cuadernillo,
milagrossins_lp4sfoa5bk,Milagros,"Sebastián Arriaga, Rafael Díaz, Sergio Rodríguez Gómez, José Sanín",,milagrossinserifa,,,2012,Bogotá,Colombia,Elaboración propia,Ilustración,,Offset,no,no,No,no,no,Plegable,
mostrillocon_lp4uecvdza,Mostrillo,"Juan Alberto Conde Aldana, Camilo Conde Aldana",,mostrillocondealdana,,,2019,Bogotá,Colombia,Gratis en exposición SNA (Salón Nacional de Artistas) 45,Cómic,,Offset,no,full,No,full,no,Cuadernillo,
nostalgiajul_lp4u3o1f4g,nostalgia,Julián Bermúdez Ramírez,,nostalgiajulianbermidezramirez,,"Primario,Palm Press",2022,Bogotá,Colombia,Comprado en feria,Ilustración,,Offset,no,full,No,full,no,Cuadernillo,
pertenecerka_lp4ug7f0wk,Pertenecer,Katrina Melguizovski,,pertenecerkatrinameguizovski,,,2019,Bogotá,Colombia,Comprado en feria,Ilustración,,Digital,no,duo,Repujado,duo,sí,Cuadernillo,verificar fecha
radicalvolca_lp4u0aagqj,Radical. Coloring Book,"José Guio,Malchico, Ángela Acosta",,radicalvolcan,,Volcán,2009,Bogotá,Colombia,Comprado en feria,Ilustración,,Fotocopia,sí,no,No,no,sí,Cuadernillo,
rataygusanog_lp4udviz5v,Rata y Gusano 1,Gamba Zika,,rataygusanogambazika,,Argot Nativo,2020,Bogotá,Colombia,Comprado en feria,Cómic,,Offset,no,no,No,no,no,Cuadernillo,
rellena2frix_lp4u15hp9x,Rellena 2,"Inti,Mateo, Felipe, Zinko, Fenomena, Marco, Stink, Malcreado, Lorena",,rellena2frixinu,"Andrés Frix,Inu Waters",,2008,Bogotá,Colombia,Comprado en feria,Ilustración,,Offset,no,no,No,no,no,Cuadernillo,
revistamefis_lp4sfobdfy,Revista Mefistófeles,"Proun, Mefistófeles, Nómada Urbano, Luis Fernando Medina, Inti Guevara, Toxicómano Callejero, Antígona, djlu, Inu Waters, Mauricio Sarmiento, Diana Martínez, Omar Alonso, Don Natie, Zokos Stencil, Gráfica para enfermos, 3fullk, FE y SA, Don Ramones",,revistamefistofeles,,Mefisto,2006,Bogotá,Colombia,Comprado en feria,Texto,Incluye CD-ROM Multimedia (Perdido),Offset,no,duo,No,no,no,Cuadernillo,
robotrhapsod_lp4uf753pl,Robot Rapsodies,"ChatGPT, Building a (Better) Book","Libro de poemas producido por estudiantes del curso Building a (Better) Book en la Univerdidad de Illinois en Urbana-Champaign. El libro fue compuesto con tipos móviles de la imprenta Skeumorph Press de la universidad, coordinado por Ryan Cordell, y los poemas fueron escritos usando ChatGPT.",robotrhapsodies,,,2023,Urbana-Champaign,Estados Unidos,Regalo de Ryan Cordell,Texto,,Tipos móviles,no,no,No,no,sí,Cuadernillo,
rockmedallo0_lp4ueydkr2,Rock Medallo. Festival Imaginario,"Alejandro Metaute, David Barbarán",Serie de ilustraciones sobre un festival de música imaginario. Cada plegable corresponde a un género musical distinto e incluye ilustraciones y tipografías promocionales de bandas imaginarias. El lado opuesto del plegable tiene textos alusivos a los eventos del festival.,rockmedallo,,,2020,Medellín,Colombia,Comprado en feria Fiesta del libro en Medellín,Ilustración,Conjunto de tres plegables,Offset,no,duo,No,duo,no,Plegable,
shortieshake_lp4u0flgvi,Shortie,Diego Shaken,,shortieshaken,,,2022,Bogotá,Colombia,Comprado en feria,Cómic,,Offset,no,duo,No,duo,no,Cuadernillo,verificar fecha
styliteianma_lp4uegrbgy,Stylite,Ian Mackay,,styliteianmackay,,,2022,San Francisco,Estados Unidos,Comprado en Printed Matter Nueva York,Cómic,,Risografía,no,tri,No,tri,no,Cuadernillo,
suenospictor_lp4ufp0k6d,Sueños pictóricos -antología-,Gusanillo,,suenospictoricosgusanillo,,,2020,Soacha,Colombia,Comprado en feria,Cómic,,Fotocopia,no,duo,Risografía,no,no,Cuadernillo,
testas2malch_lp4u2onqsm,Tetas 2,"Malchico, Powerpaola",,testas2malchicopowerpaola,,,2009,Bogotá,Colombia,Comprado en feria,Ilustración,,Fotocopia,no,no,No,no,sí,Cuadernillo,
theinvisible_lp4u32w3t0,The Invisible College Catalog,"Isabella Viega, Ryan Cordell, Emerson Parker Pehl, Ocean Val Arboniés Flores, D. E., Sebastián González, Bethany Anderson, Sergio Rodríguez Gómez, Lilah Leopold, Natalia Espinel",,theinvisiblecollegecatalog,,,2023,Urbana,Estados Unidos,Elaboración propia,Ilustración,,Fotocopia,no,no,No,no,no,Cuadernillo,
traganubesma_lp4ug2ncv4,El traganubes,"Manuel Fernando García, Manuel García, Laureano Díaz, Urbano Prada, Expedito Forero, Bernardo Prada",,traganubesmanuelfernandogarcia,,,2018,Betulia,Colombia,Comprado en feria,Ilustración,Es un fanzine interactivo,Digital,no,full,No,no,no,Cuadernillo,
tresvolcan00_lp4u1h5ilq,"Tres ""3""","José Guio, Malchico, Ángela Acosta",,tresvolcan,,Volcán,2009,Bogotá,Colombia,Comprado en feria,Ilustración,,Fotocopia,sí,no,No,no,sí,Cuadernillo,
youdontgethe_lp4u1d2hm9,You don´t get there from here #58,Carrie McNinch,Diarios de viaje en japón en cómic,youdontgetherefromheremcninch,,,2019,Granada Hills,Estados Unidos,Comprado en Quimby´s Chicago,Cómic,,Fotocopia,no,no,No,no,no,Cuadernillo,
zinechungo20_lp4udjjkbt,Zine Chungo 2019,"Rafael Díaz, Carlos Alfonso, Pablo Marín, Marco Noreña, Andrés Frix Bustamante",,zinechungo2019,,A la postre 101,2019,Bogotá,Colombia,Gratis en exposición SNA (Salón Nacional de Artistas) 45,Ilustración,,Offset,no,full,No,full,no,Cuadernillo,
